year,district_id,district_name,population_thousands,total_cases,api,aber,spr,pf_percent,deaths,source_url,source_sha256,metric_scope
2012,OD-DIST-mayurbhanj,Mayurbhanj,2553.0,8673,3.4,10.1,3.36,94.48,2,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-nabarangpur,Nabarangpur,1245.0,14600,11.73,11.94,9.82,96.67,4,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-nayagarh,Nayagarh,975.0,915,0.94,6.97,1.35,89.4,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-nuapada,Nuapada,617.0,8150,13.21,13.54,9.76,65.01,6,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-puri,Puri,1724.0,29,0.02,5.35,0.03,20.69,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-rayagada,Rayagada,979.0,52117,53.23,30.22,17.61,98.49,8,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-sambalpur,Sambalpur,1059.0,9209,8.7,10.86,8.01,92.11,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-subarnapur,Subarnapur,667.0,691,1.04,10.46,0.99,60.35,1,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-sundargarh,Sundargarh,2114.0,16304,7.71,14.82,5.2,96.82,14,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2013,OD-DIST-angul,Angul,1271.0,11533,9.07,16.02,5.67,87.93,5,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2013.pdf,98a6ba7e419df6ef8a9f72a3988cdc90224ab7cd3ec134762fe4100b5bdbea8a,official_annual_malaria_report
2013,OD-DIST-balangir,Balangir,1771.0,6752,3.81,13.03,2.93,67.27,8,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2013.pdf,98a6ba7e419df6ef8a9f72a3988cdc90224ab7cd3ec134762fe4100b5bdbea8a,official_annual_malaria_report
2013,OD-DIST-balasore,Balasore,2253.0,310,0.14,7.0,0.2,58.39,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2013.pdf,98a6ba7e419df6ef8a9f72a3988cdc90224ab7cd3ec134762fe4100b5bdbea8a,official_annual_malaria_report
2013,OD-DIST-bargarh,Bargarh,1494.0,1493,1.0,10.81,0.92,52.91,4,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2013.pdf,98a6ba7e419df6ef8a9f72a3988cdc90224ab7cd3ec134762fe4100b5bdbea8a,official_annual_malaria_report
2013,OD-DIST-bhadrak,Bhadrak,1547.0,292,0.19,3.99,0.47,56.85,2,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2013.pdf,98a6ba7e419df6ef8a9f72a3988cdc90224ab7cd3ec134762fe4100b5bdbea8a,official_annual_malaria_report
2013,OD-DIST-boudh,Boudh,448.0,1832,4.09,9.74,4.2,88.48,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2013.pdf,98a6ba7e419df6ef8a9f72a3988cdc90224ab7cd3ec134762fe4100b5bdbea8a,official_annual_malaria_report
2013,OD-DIST-cuttack,Cuttack,2709.0,462,0.17,7.1,0.24,44.81,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2013.pdf,98a6ba7e419df6ef8a9f72a3988cdc90224ab7cd3ec134762fe4100b5bdbea8a,official_annual_malaria_report
